subject;predicate;behaviors
7;coffee;grasp,look
7;fat;drop,grasp,look,push
7;chips;drop,grasp
7;silver;look
7;rattles;drop,push
7;gray;look
7;aluminum;drop,look
7;large;grasp,lift,look,press
7;small;grasp,hold
7;soft;grasp,press
7;round;grasp,look,push
7;heavy;drop,hold,lift
7;squishy;drop,grasp,press,push
7;orange-topped;look
7;blue;look
7;container;drop,lift,look
7;purple;look
7;tube;drop,look,press,push
7;red;look
7;can;drop,grasp,look
7;full;grasp,hold,lift,look
7;water;drop,look,press,push
7;cylindrical;grasp,look
7;tub;drop,grasp,look,press,push
7;colored;look
7;thing;grasp,lift,look,press
7;beans;drop,grasp,look
7;narrow;grasp,look
7;shiny;look
7;hollow;drop,grasp,lift,press,push
7;open;drop,look
7;spraycan;grasp,press
7;silent;drop,grasp,press,push
7;top;drop,grasp,lift,push
7;spiky;grasp,look,press
7;tiny;grasp
7;plastic;grasp,press
7;white;look
7;empty;drop,grasp,hold,lift
7;wide;grasp,look
7;inside;drop,look,press,push
7;cap;drop,look
7;rectangular;grasp,look
7;thin;grasp,push
7;cylinder;grasp,look
7;lid;grasp,lift,look,push
7;metallic;drop,look
7;prism;look,push
7;green;look
7;roll;drop,push
7;circular;grasp,look
7;circles;look
7;pink;look
7;canister;drop,grasp,hold,lift,press,push
7;styrofoam;drop,grasp,hold,lift,look
7;medium-sized;grasp,hold,lift,look
7;tall;grasp,lift,look
7;short;grasp,lift,look,push
7;liquid;drop,grasp,lift,look,press,push
7;light;grasp,lift,look,lower
7;clear;look
7;metal;drop,grasp,look,press,push
7;object;drop,grasp,look,press
7;aerosol;grasp,lift,press
7;bottle;drop,look
7;pineapple;grasp,look
8;text;look
8;neon;look
8;yellow;look
8;bright;look
8;paper;hold,lift,look,lower
8;crayon;grasp,hold,lift
8;rough;grasp,hold
8;pencil-shaped;grasp,hold,look
8;cup;grasp,hold,lift,lower
8;transparent;look
8;half-full;hold,lift,look,lower
8;black;look
8;orange;look
8;rectangle;look
8;brown;look
8;coffee;hold,lift,lower
8;fat;lift,look
8;chips;grasp,hold
8;silver;look
8;rattles;drop,lift,lower
8;gray;look
8;aluminum;hold,lift,lower
8;large;drop,grasp,hold,lift,look,lower
8;small;drop,grasp,hold,lift,look,lower
8;soft;hold,lift,press
8;round;grasp,push
8;heavy;lift,lower,push
8;squishy;grasp,press
8;orange-topped;look
8;blue;look
8;container;grasp,hold,lift,lower,push
8;purple;look
8;tube;grasp,hold,push
8;red;look
8;can;grasp,hold,lift,lower,press
8;full;grasp,hold,lift,lower,push
8;water;hold,lift,lower
8;cylindrical;grasp,hold,look,push
8;tub;hold,lift,lower
8;colored;look
8;thing;drop,grasp,hold,lift,look,lower,press,push
8;beans;drop,hold
8;narrow;grasp,hold
8;shiny;look
8;hollow;drop,lift,lower,press,push
8;open;hold,lift,look,lower
8;spraycan;grasp,hold,lift,lower
8;silent;drop,press,push
8;top;hold,lift,look,lower
8;spiky;grasp,hold,look
8;tiny;grasp,hold
8;plastic;drop,hold,lift,push
8;white;look
8;empty;hold,lift,lower,push
8;wide;grasp,look
8;inside;look
8;cap;grasp,hold,push
8;rectangular;grasp,hold,look
8;thin;grasp,hold,look
8;cylinder;hold
8;lid;grasp,hold,push
8;metallic;look
8;prism;grasp,hold
8;green;look
8;roll;drop,hold,push
8;circular;drop,hold,look,push
8;circles;look
8;pink;look
8;canister;grasp,hold,lift,lower,push
8;styrofoam;drop,lift,lower,press,push
8;medium-sized;hold,lift,lower
8;tall;hold,lift,lower
8;short;hold,lift,lower
8;liquid;grasp,hold,lift,lower
8;light;hold,lift,lower,push
8;clear;look
8;metal;drop,hold,lift,lower,press,push
8;object;drop,grasp,hold,lift,lower,press,push
8;aerosol;lift,lower,push
8;bottle;grasp,hold,lift,lower,push
8;pineapple;grasp,hold,lift,lower
9;text;look
9;neon;look
9;yellow;look
9;bright;look
9;paper;lift,look
9;crayon;hold,lift,look
9;rough;grasp,look,press
9;pencil-shaped;hold,look
9;cup;hold,look
9;transparent;look
9;half-full;lift,look
9;black;look
9;orange;look
9;rectangle;grasp,look
9;brown;look
9;coffee;grasp,hold,lift,look
9;fat;grasp,look
9;chips;grasp,hold,lift
9;silver;look
9;rattles;drop,lift,push
9;gray;look
9;aluminum;grasp,look
9;large;grasp,hold
9;small;grasp,hold
9;soft;grasp,press,push
9;round;grasp,hold,look
9;heavy;drop,lift
9;squishy;grasp,press,push
9;orange-topped;look
9;blue;look
9;container;grasp,lift,look
9;purple;look
9;tube;grasp,lift,look
9;red;look
9;can;hold,lift,look
9;full;lift
9;water;look
9;cylindrical;grasp,look
9;tub;drop,grasp,look,lower
9;colored;look
9;thing;drop,grasp,hold,lift,look,lower,press,push
9;beans;drop,hold,look,push
9;narrow;hold,look
9;shiny;lift,look,lower
9;hollow;drop,hold,lift
9;open;look,press
9;spraycan;grasp,press
9;silent;drop,lift,lower,press,push
9;top;lift,look,lower
9;spiky;look,press,push
9;tiny;grasp,hold,lift,lower
9;plastic;drop,grasp,look
9;white;look
9;empty;drop,hold,lift,look,lower
9;wide;grasp,hold,look
9;inside;look
9;cap;drop,lift,look,lower
9;rectangular;grasp,look
9;thin;grasp,look
9;cylinder;grasp
9;lid;hold,lift,look,lower
9;metallic;drop,look
9;prism;grasp,lift,look,lower
9;green;look
9;roll;push
9;circular;hold,look,push
9;circles;look
9;pink;look
9;canister;drop,grasp,look
9;styrofoam;grasp,press,push
9;medium-sized;grasp,hold,look
9;tall;grasp,look,press
9;short;grasp,look,press
9;liquid;drop,look
9;light;lift,lower,push
9;clear;look
9;metal;lift,look,lower
9;object;drop,grasp,hold,lift,look,lower,press,push
9;aerosol;grasp,lift,look,lower,press
9;bottle;drop,grasp,lift,look,lower
9;pineapple;drop,grasp,look,press
10;text;look
10;neon;look
10;yellow;look
10;bright;look
10;paper;grasp,hold
10;crayon;look,push
10;rough;grasp
10;pencil-shaped;grasp,push
10;cup;grasp,look
10;transparent;look
10;half-full;hold,lift,lower
10;black;look
10;orange;look
10;rectangle;grasp,look
10;brown;look
10;coffee;drop,hold,lift,lower
10;fat;look
10;chips;drop,grasp
10;silver;look
10;rattles;drop,push
10;gray;look
